key,latitude,longitude
1,40.774351,-73.984753
2,40.855855,-73.92712
3,40.713684,-73.986336
4,40.817372,-73.947712
5,40.719029,-73.975891
6,40.711442,-74.000851
7,40.76525,-73.993105
8,40.735494,-73.987659
9,40.76337,-73.9906
10,40.742867,-74.002136
11,40.757729,-73.983078
12,40.70568,-74.013302
13,40.7177,-74.01399
14,40.824319,-73.93712
15,40.717349,-73.989596
16,40.74193,-73.986521
17,40.838167,-73.938642
18,40.790543,-73.944356
19,40.701695,-74.011631
20,40.807383,-73.939433
21,40.712399,-73.984497
22,40.785803,-73.974614
23,40.738548,-73.982455
24,40.793763,-73.949381
25,40.761448,-73.988019
26,40.70873,-74.012332
27,40.770187,-73.953608
28,40.815256,-73.955325
29,40.7244,-74.004625
30,40.86079,-73.930672
31,40.736518,-73.992725
32,40.755843,-73.984382
33,40.866053,-73.924835
34,40.802207,-73.954142
35,40.818188,-73.950356
36,40.729589,-73.982555
37,40.742129,-74.002198
38,40.704541,-74.011552
39,40.765359,-73.960059
40,40.732447,-73.983031
41,40.792741,-73.947428
42,40.773629,-73.985273
43,40.746176,-73.981241
44,40.833687,-73.942072
45,40.810431,-73.955809
46,40.75924,-73.967203
47,40.720581,-73.985645
48,40.745156,-73.996074
49,40.82074,-73.949097
50,40.783625,-73.945637
51,40.738952,-73.985479
52,40.741497,-73.991512
53,40.848908,-73.930948
54,40.791881,-73.946558
55,40.767791,-73.987531
56,40.736518,-73.994858
57,40.761452,-73.995802
58,40.768343,-73.989108
59,40.79307,-73.942303
60,40.718895,-73.979308
61,40.815449,-73.944061
62,40.709196,-74.012022
63,40.716553,-73.993092
64,40.772007,-73.987479
65,40.705024,-74.012977
66,40.793856,-73.934028
