key,latitude,longitude
1,40.75529,-73.987495
2,40.755882,-74.00191
3,40.713715,-73.990173
4,40.714111,-74.008585
5,40.762526,-73.967967
6,40.764811,-73.973347
7,40.798629,-73.941617
8,40.741303,-73.989344
9,40.745494,-73.988691
10,40.826551,-73.95036
11,40.865491,-73.927271
12,40.805085,-73.954882
13,40.710368,-74.009509
14,40.719527,-74.001775
15,40.855225,-73.929412
16,40.755477,-73.987691
17,40.785868,-73.968916
18,40.725915,-73.994659
19,40.811109,-73.952343
20,40.742878,-73.992821
21,40.707557,-74.011862
22,40.822008,-73.953676
23,40.802098,-73.949625
24,40.719318,-74.006886
25,40.762862,-73.981637
26,40.718092,-73.999892
27,40.745906,-73.998041
28,40.784318,-73.947152
29,40.709416,-74.006571
30,40.836013,-73.939892
31,40.74307,-73.984264
32,40.799446,-73.968379
33,40.82388,-73.93647
34,40.737826,-74.000201
35,40.718611,-73.988114
36,40.803967,-73.966847
37,40.764664,-73.980658
38,40.79502,-73.94425
39,40.706821,-74.0091
40,40.759901,-73.984139
41,40.830135,-73.938209
42,40.777891,-73.951787
43,40.760167,-73.975224
44,40.768296,-73.981736
45,40.710668,-74.011029
46,40.750373,-73.991057
47,40.768141,-73.96387
48,40.740893,-74.00169
49,40.738228,-73.996209
50,40.778453,-73.98197
51,40.722301,-73.997141
52,40.763972,-73.97745
53,40.799075,-73.951822
54,40.791642,-73.964696
55,40.724329,-73.997702
56,40.849505,-73.933596
57,40.720824,-74.005229
58,40.868072,-73.919899
59,40.734789,-73.99073
60,40.758663,-73.981329
61,40.722854,-74.006277
62,40.713243,-74.003401
63,40.732849,-73.986122
64,40.70722,-74.013342
65,40.74104,-73.997871
66,40.753821,-73.981963
67,40.732338,-74.000495
68,40.830518,-73.941514
69,40.762456,-73.985984
70,40.746081,-73.982076
71,40.783934,-73.979917
72,40.824783,-73.944216
73,40.718803,-74.000193
74,40.807722,-73.96411
75,40.739864,-73.986599
76,40.757552,-73.969055
77,40.747215,-73.993365
78,40.713282,-74.006978
79,40.754672,-73.986754
80,40.840556,-73.940133
81,40.820421,-73.936245
82,40.851695,-73.937969
83,40.869444,-73.915279
84,40.768799,-73.958424
85,40.775594,-73.97641
86,40.710197,-74.007691
87,40.77362,-73.959874
88,40.707513,-74.013783
89,40.725297,-73.996204
90,40.728251,-74.005367
91,40.7906,-73.947478
92,40.710374,-74.007582
93,40.730328,-73.992629
94,40.755983,-73.986229
95,40.77344,-73.982209
96,40.796092,-73.961454
97,40.751776,-73.976848
98,40.764629,-73.966113
99,40.703087,-74.012994
100,40.754222,-73.984569
101,40.711835,-74.012188
102,40.718315,-73.987437
103,40.730953,-73.981628
104,40.757308,-73.989735
105,40.737335,-73.996786
106,40.751431,-73.976041
107,40.847391,-73.939704
108,40.874561,-73.909831
109,40.788644,-73.976218
110,40.734673,-73.989951
111,40.864621,-73.918822
112,40.768247,-73.981929
113,40.800603,-73.958161
114,40.744081,-73.995657
115,40.735736,-73.990568
116,40.814229,-73.94077
117,40.859022,-73.93418
118,40.718267,-73.993753
119,40.781433,-73.972143
120,40.718383,-74.00046
121,40.834041,-73.94489
122,40.712582,-74.009781
123,40.733422,-74.002906
124,40.704817,-74.014065
125,40.815581,-73.958372
126,40.76266,-73.967258
127,40.706476,-74.011056
128,40.785672,-73.95107
129,40.749567,-73.98795
130,40.752769,-73.979189
131,40.702068,-74.013664
132,40.713065,-74.004131
133,40.817894,-73.947649
134,40.807754,-73.945495
135,40.726227,-74.003739
136,40.840719,-73.939561
137,40.860531,-73.925536
138,40.779492,-73.955589
139,40.804138,-73.937594
140,40.715478,-74.009266
141,40.72028,-73.993915
142,40.730054,-73.99107
143,40.752287,-73.993391
144,40.761728,-73.983849
145,40.793919,-73.972323
146,40.757107,-73.97192
147,40.749719,-73.987823
148,40.739777,-74.002578
149,40.713051,-74.008811
150,40.759145,-73.95326
151,40.723402,-73.989938
